"Timestamp","Worker ID"," ğŸ™‚ ","ğŸ˜","ğŸ˜€","ğŸ˜„","ğŸ¤£ ","ğŸ¤­","ğŸ‘¿","ğŸ¤” ","ğŸ¤¯","ğŸ˜­"
"2020/10/14 7:46:49 pm EET","A3NKJAX21PSNWD","star,blank,question","love,joy,enjou","smile,happy,enjoy","smile,happy,enjoy","blank,empty,thinking","blank,empty,thinking","angery,tension,avoid","blank,empty,thinking","blank,empty,thinking","funny,sad,feel"
"2020/10/14 8:11:06 pm EET","A1E4ORUXDHPOG0","sick,ill,unwell","love,beautiful,admire","happy,good,thanks","laugh,funny,super","laugh,funny,super","kidding,fun,laugh","thug,evil,bad","fever,nowell,suffering","admire,blast,shock","cry,sad,fear"
"2020/10/14 8:11:45 pm EET","A3TEES8H47WU4R","smile,laugh,cool","love,heart,crush","smile,laugh,cool","smile,crazy,sly","laugh,wave,cool","chuckle,smile,laugh","angry,tention,sad","puke,sad,blush","upset,hungry,puke","cry,sad,hate"
"2020/10/14 8:24:08 pm EET","A2JC65REBH7706","sick,ill,unwell","love,smile,heart","fun,laughing,lol","happy,smiling,fun","sick,ill,unwell","sick,ill,unwell","monster,danger,angry","sick,ill,unwell","sick,ill,unwell","sad,cry,worry"
"2020/10/14 9:08:34 pm EET","ADWKUJZD2AKG1","happy,friendly,friendly","smiling,lovable,surprise","joy,smiling,excitement","joy,cheerfull,laughsloud","funny,rofl,laughing","surprise,shock,smile","lookinggrim,angry,cunning","thinking,serious,doubtful","exploding,shock,awe","sad,cry,dying"
"2020/10/14 10:01:18 pm EET","A2HJDLSU95MH8Q","content,calm,happy","love,happy,awesome","glad,okay,agree","giggle,happy,yay","what,pause,empty","box,tight,math","angry,discontent,aggravate","pensive,think,search","geometry,math,puzzle","sad,unhappy,misery"
"2020/10/14 10:15:58 pm EET","A31FNNC9F7JSHA","happy,fine,smile","heart,love,smile","happy,smile,grin","grin,smile,happy","laugh,tears,hilarious","hush,blush,embarass","devil,sad,purple","think,puzzle,skeptical","disbelief,shock,explode","cry,sad,tears"
"2020/10/14 11:53:39 pm EET","A2YLK83DQ6PA5Y","happy,pleased,content","love,excited,adore","happy,pleased,content","laughing,cheerful,giggle","laughing,hilarious,funny","giggle,funny,pleased","angry,evil,mad","puzzled,concerned,hmmm","shocked,surprised,horrified","crying,sad,hysterical"
"2020/10/15 12:07:20 am EET","A2G7DTL156PTKA","happy,satisfied,friendly","love,lovestruck,overjoyed","happy,smiling,thrilled","laughing,joking,fun","hilarious,gleeful,sidesplitting","mirthful,amused,charmed","angry,rage,seethe","confused,ill,unwell","discombobulated,baffled,shocked","cry,sad,sob"
"2020/10/15 12:34:32 am EET","A240OTT1T85UGT","happy,glad,pleased","love,amazed,extatic","happy,agreed,yes","admire,love,adore","laugh,crying,funny","tasty,yum,yes","evil,devil,satanic","coufused,not,sure","glad,chill,pleased","ill,vomit,sick"